category_id,name,instances,AP,AP50,AR100
1,yoke,318,0.9018296020722555,0.9642139281255033,0.9584905660377359
2,yoke suspension,1250,0.8661203218521302,0.9879569516428548,0.90008
3,spacer,22,0.49102987501311135,0.9859735973597361,0.6863636363636364
4,stockbridge damper,1254,0.8708418509755069,0.9776367561281998,0.9155502392344499
5,lightning rod shackle,25,0.6523323984744147,0.8440811447684592,0.8160000000000001
6,lightning rod suspension,92,0.9294155900944527,1.0,0.9576086956521739
7,polymer insulator,855,0.9655572226653442,0.9875913650889494,0.9833918128654972
8,glass insulator,963,0.9364372382461716,0.9783964401841632,0.9731048805815161
9,tower id plate,44,0.9969876371349534,1.0,1.0
10,vari-grip,162,0.9687011753010459,0.9979839151105911,0.9833333333333334
11,polymer insulator lower shackle,382,0.6432247725929827,0.8940110787476252,0.7410994764397906
12,polymer insulator upper shackle,377,0.8742168976256054,0.9830791443166229,0.9198938992042439
13,polymer insulator tower shackle,10,0.39561184571055874,0.9351314441789003,0.69
14,glass insulator big shackle,149,0.4223355891957821,0.5990201840556725,0.7563758389261744
15,glass insulator small shackle,135,0.4069059596780004,0.6980333288485656,0.6562962962962964
16,glass insulator tower shackle,97,0.5387437542246986,0.7175063842413858,0.7587628865979382
17,spiral damper,189,0.9593021539284454,0.9995499549954996,0.9798941798941799
18,sphere,0,,,
